id, Positive Score, Negative Score, Net Score
32156,1,1,-1
32157,0,1,-1
32158,2,1,2
32159,1,0,1
32160,1,0,1
32161,0,0,0
32162,0,2,-2
32163,0,0,0
32164,1,1,-1
32165,1,0,1
32166,0,0,0
32167,1,0,1
32168,1,0,1
32169,2,0,2
32170,2,2,-2
32171,1,1,-1
32172,1,0,1
32173,1,0,1
32174,0,0,0
32175,2,0,2
32176,1,1,-1
32177,0,0,0
32178,1,0,1
32179,1,0,1
32180,1,0,1
32181,0,0,0
32182,3,0,3
32183,2,1,2
32184,1,1,-1
32185,0,0,0
32186,0,0,0
32187,0,2,-2
32188,0,1,-1
32189,2,0,2
32190,0,0,0
32191,2,0,2
32192,0,0,0
32193,3,0,3
32194,0,1,-1
32195,1,1,-1
32196,1,0,1
32197,0,0,0
32198,0,0,0
32199,1,0,1
32200,0,4,-4
32201,0,0,0
32202,1,0,1
32203,3,0,3
32204,2,0,2
32205,1,3,-3
32206,0,0,0
32207,1,0,1
32208,1,3,-3
32209,3,1,3
32210,2,1,2
32211,0,0,0
32212,0,0,0
32213,1,0,1
32214,0,2,-2
32215,2,0,2
32216,1,0,1
32217,0,2,-2
32218,0,0,0
32219,2,2,-2
32220,1,0,1
32221,2,0,2
32222,0,0,0
32223,5,0,5
32224,0,2,-2
32225,0,0,0
32226,1,0,1
32227,4,0,4
32228,0,0,0
32229,0,4,-4
32230,0,0,0
32231,1,0,1
32232,0,0,0
32233,0,0,0
32234,0,1,-1
32235,0,0,0
32236,0,0,0
32237,2,0,2
32238,2,1,2
32239,0,2,-2
32240,0,0,0
32241,1,0,1
32242,0,0,0
32243,1,0,1
32244,0,0,0
32245,1,0,1
32246,2,0,2
32247,1,1,-1
32248,0,0,0
32249,1,0,1
32250,2,1,2
32251,0,0,0
32252,0,0,0
32253,1,0,1
32254,1,0,1
32255,0,1,-1
32256,4,0,4
32257,0,1,-1
32258,0,0,0
32259,0,0,0
32260,3,0,3
32261,0,0,0
32262,0,0,0
32263,2,1,2
32264,0,0,0
32265,1,1,-1
32266,0,0,0
32267,1,0,1
32268,0,2,-2
32269,4,0,4
32270,3,0,3
32271,0,2,-2
32272,0,4,-4
32273,2,0,2
32274,3,0,3
32275,1,2,-2
32276,1,0,1
32277,0,1,-1
32278,1,0,1
32279,0,0,0
32280,2,0,2
32281,2,1,2
32282,2,0,2
32283,3,0,3
32284,1,0,1
32285,0,0,0
32286,1,0,1
32287,2,0,2
32288,0,0,0
32289,2,1,2
32290,0,1,-1
32291,0,0,0
32292,0,1,-1
32293,1,0,1
32294,2,0,2
32295,0,0,0
32296,0,0,0
32297,0,0,0
32298,0,1,-1
32299,1,0,1
32300,1,0,1
32301,1,0,1
32302,0,1,-1
32303,1,1,-1
32304,0,1,-1
32305,1,1,-1
32306,2,0,2
32307,2,0,2
32308,0,1,-1
32309,0,0,0
32310,0,1,-1
32311,0,0,0
32312,0,0,0
32313,0,0,0
32314,1,1,-1
32315,0,0,0
32316,0,0,0
32317,0,0,0
32318,0,0,0
32319,1,2,-2
32320,1,2,-2
32321,3,0,3
32322,0,0,0
32323,0,0,0
32324,0,1,-1
32325,0,0,0
32326,0,2,-2
32327,1,0,1
32328,0,0,0
32329,1,1,-1
32330,1,0,1
32331,0,0,0
32332,0,0,0
32333,0,0,0
32334,0,1,-1
32335,0,1,-1
32336,0,0,0
32337,1,2,-2
32338,0,1,-1
32339,0,0,0
32340,0,1,-1
32341,1,0,1
32342,2,0,2
32343,0,0,0
32344,0,0,0
32345,0,0,0
32346,2,0,2
32347,0,0,0
32348,0,1,-1
32349,0,0,0
32350,0,0,0
32351,1,0,1
32352,0,0,0
32353,2,1,2
32354,0,2,-2
32355,2,0,2
32356,0,1,-1
32357,2,0,2
32358,0,0,0
32359,1,0,1
32360,1,1,-1
32361,0,0,0
32362,2,0,2
32363,3,0,3
32364,0,0,0
32365,2,2,-2
32366,0,3,-3
32367,0,0,0
32368,3,0,3
32369,0,0,0
32370,1,0,1
32371,0,0,0
32372,1,1,-1
32373,0,0,0
32374,1,0,1
32375,4,0,4
32376,1,0,1
32377,0,0,0
32378,1,0,1
32379,0,0,0
32380,1,1,-1
32381,0,1,-1
32382,3,0,3
32383,0,1,-1
32384,2,0,2
32385,0,0,0
32386,2,1,2
32387,1,0,1
32388,0,0,0
32389,0,1,-1
32390,1,0,1
32391,5,0,5
32392,1,0,1
32393,0,1,-1
32394,1,0,1
32395,0,0,0
32396,0,2,-2
32397,0,0,0
32398,4,0,4
32399,1,0,1
32400,0,0,0
32401,0,0,0
32402,1,0,1
32403,0,0,0
32404,0,1,-1
32405,0,0,0
32406,0,0,0
32407,0,1,-1
32408,1,0,1
32409,1,0,1
32410,1,0,1
32411,1,0,1
32412,1,0,1
32413,0,1,-1
32414,0,1,-1
32415,0,0,0
32416,1,0,1
32417,0,0,0
32418,0,0,0
32419,1,0,1
32420,1,0,1
32421,0,2,-2
32422,0,0,0
32423,0,1,-1
32424,1,0,1
32425,0,1,-1
32426,0,0,0
32427,0,0,0
32428,1,0,1
32429,0,0,0
32430,0,0,0
32431,2,0,2
32432,2,0,2
32433,2,2,-2
32434,3,1,3
32435,1,0,1
32436,1,0,1
32437,0,0,0
32438,0,0,0
32439,0,0,0
32440,1,1,-1
32441,2,2,-2
32442,1,0,1
32443,2,0,2
32444,0,0,0
32445,0,0,0
32446,1,0,1
32447,2,0,2
32448,2,0,2
32449,0,1,-1
32450,1,0,1
32451,1,0,1
32452,2,0,2
32453,1,0,1
32454,0,0,0
32455,3,0,3
32456,0,2,-2
32457,0,0,0
32458,2,0,2
32459,3,0,3
32460,0,1,-1
32461,0,0,0
32462,2,0,2
32463,1,0,1
32464,1,0,1
32465,3,0,3
32466,3,1,3
32467,0,0,0
32468,1,0,1
32469,0,0,0
32470,1,2,-2
32471,3,0,3
32472,1,0,1
32473,1,0,1
32474,3,0,3
32475,1,2,-2
32476,0,3,-3
32477,1,0,1
32478,0,0,0
32479,0,0,0
32480,1,0,1
32481,1,0,1
32482,1,0,1
32483,0,1,-1
32484,1,0,1
32485,1,0,1
32486,1,1,-1
32487,3,0,3
32488,0,0,0
32489,0,0,0
32490,0,0,0
32491,0,0,0
32492,0,1,-1
32493,0,0,0
32494,0,1,-1
32495,0,1,-1
32496,2,0,2
32497,1,0,1
32498,0,1,-1
32499,1,0,1
32500,5,0,5
32501,0,0,0
32502,0,0,0
32503,2,0,2
32504,0,0,0
32505,0,0,0
32506,0,2,-2
32507,0,3,-3
32508,2,1,2
32509,1,1,-1
32510,0,0,0
32511,3,0,3
32512,2,0,2
32513,0,1,-1
32514,0,0,0
32515,3,0,3
32516,6,0,6
32517,0,1,-1
32518,3,0,3
32519,0,0,0
32520,0,0,0
32521,1,0,1
32522,0,1,-1
32523,0,1,-1
32524,1,0,1
32525,0,3,-3
32526,0,0,0
32527,2,1,2
32528,1,0,1
32529,2,0,2
32530,2,0,2
32531,5,0,5
32532,3,1,3
32533,0,0,0
32534,1,0,1
32535,0,3,-3
32536,2,0,2
32537,1,0,1
32538,0,0,0
32539,2,3,-3
32540,0,0,0
32541,0,1,-1
32542,0,1,-1
32543,0,0,0
32544,2,0,2
32545,1,0,1
32546,0,0,0
32547,2,1,2
32548,2,1,2
32549,0,0,0
32550,0,0,0
32551,0,0,0
32552,4,3,4
32553,1,0,1
32554,1,0,1
32555,2,0,2
32556,0,0,0
32557,3,0,3
32558,1,1,-1
32559,1,2,-2
32560,1,1,-1
32561,1,0,1
32562,1,1,-1
32563,0,0,0
32564,0,0,0
32565,0,0,0
32566,0,0,0
32567,1,0,1
32568,0,1,-1
32569,1,0,1
32570,1,0,1
32571,0,1,-1
32572,3,1,3
32573,1,0,1
32574,0,2,-2
32575,1,0,1
32576,1,0,1
32577,0,0,0
32578,1,0,1
32579,1,0,1
32580,0,0,0
32581,0,0,0
32582,1,0,1
32583,1,1,-1
32584,0,0,0
32585,0,0,0
32586,3,0,3
32587,4,0,4
32588,1,0,1
32589,4,0,4
32590,3,0,3
32591,0,0,0
32592,0,0,0
32593,2,0,2
32594,3,0,3
32595,1,0,1
32596,0,1,-1
32597,0,0,0
32598,1,0,1
32599,3,0,3
32600,1,0,1
32601,4,0,4
32602,1,0,1
32603,2,0,2
32604,1,0,1
32605,0,0,0
32606,1,2,-2
32607,0,0,0
32608,3,0,3
32609,0,0,0
32610,1,0,1
32611,0,0,0
32612,1,0,1
32613,0,0,0
32614,4,0,4
32615,0,0,0
32616,0,0,0
32617,3,0,3
32618,0,0,0
32619,0,0,0
32620,0,0,0
32621,0,1,-1
32622,1,1,-1
32623,0,2,-2
32624,0,0,0
32625,2,0,2
32626,1,1,-1
32627,2,0,2
32628,2,0,2
32629,0,1,-1
32630,0,0,0
32631,0,0,0
32632,3,1,3
32633,1,2,-2
32634,0,0,0
32635,0,0,0
32636,0,0,0
32637,0,0,0
32638,0,3,-3
32639,1,1,-1
32640,0,2,-2
32641,3,0,3
32642,0,0,0
32643,0,0,0
32644,0,0,0
32645,0,0,0
32646,0,0,0
32647,0,0,0
32648,1,0,1
32649,0,1,-1
32650,1,0,1
32651,1,0,1
32652,0,0,0
32653,0,0,0
32654,0,0,0
32655,0,2,-2
32656,3,3,-3
32657,0,0,0
32658,2,3,-3
32659,0,0,0
32660,4,0,4
32661,0,0,0
32662,1,0,1
32663,1,0,1
32664,3,0,3
32665,2,0,2
32666,3,1,3
32667,2,0,2
32668,0,0,0
32669,1,0,1
32670,1,1,-1
32671,1,0,1
32672,1,0,1
32673,0,0,0
32674,0,0,0
32675,1,0,1
32676,0,3,-3
32677,0,0,0
32678,0,0,0
32679,0,0,0
32680,0,0,0
32681,0,0,0
32682,0,0,0
32683,1,0,1
32684,1,0,1
32685,0,0,0
32686,0,0,0
32687,2,0,2
32688,4,2,4
32689,1,0,1
32690,2,0,2
32691,0,0,0
32692,0,0,0
32693,0,0,0
32694,1,0,1
32695,0,0,0
32696,1,0,1
32697,1,2,-2
32698,0,0,0
32699,0,2,-2
32700,3,0,3
32701,1,1,-1
32702,0,0,0
32703,0,0,0
32704,0,0,0
32705,0,0,0
32706,2,1,2
32707,4,0,4
32708,0,0,0
32709,0,2,-2
32710,1,0,1
32711,0,0,0
32712,0,0,0
32713,1,0,1
32714,1,0,1
32715,0,0,0
32716,3,2,3
32717,1,0,1
32718,0,1,-1
32719,0,0,0
32720,0,0,0
32721,0,0,0
32722,1,0,1
32723,0,1,-1
32724,1,0,1
32725,0,0,0
32726,2,1,2
32727,1,0,1
32728,1,0,1
32729,0,2,-2
32730,0,0,0
32731,0,0,0
32732,1,0,1
32733,0,0,0
32734,0,0,0
32735,0,0,0
32736,2,1,2
32737,1,1,-1
32738,1,0,1
32739,1,0,1
32740,0,0,0
32741,2,0,2
32742,2,0,2
32743,1,0,1
32744,0,2,-2
32745,1,0,1
32746,0,0,0
32747,0,0,0
32748,0,0,0
32749,0,0,0
32750,1,0,1
32751,1,0,1
32752,1,1,-1
32753,0,0,0
32754,0,0,0
32755,0,0,0
32756,1,1,-1
32757,2,0,2
32758,1,0,1
32759,0,0,0
32760,0,0,0
32761,1,0,1
32762,0,2,-2
32763,0,0,0
32764,1,0,1
32765,0,0,0
32766,2,0,2
32767,0,0,0
32768,0,0,0
32769,0,1,-1
32770,1,0,1
32771,0,1,-1
32772,0,0,0
32773,0,0,0
32774,0,0,0
32775,0,1,-1
32776,0,0,0
32777,3,0,3
32778,1,0,1
32779,2,0,2
32780,2,0,2
32781,0,0,0
32782,1,0,1
32783,2,0,2
32784,3,2,3
32785,3,0,3
32786,0,0,0
32787,1,1,-1
32788,1,0,1
32789,3,0,3
32790,0,1,-1
32791,0,0,0
32792,0,0,0
32793,0,1,-1
32794,2,0,2
32795,2,0,2
32796,0,0,0
32797,0,1,-1
32798,0,0,0
32799,1,1,-1
32800,2,1,2
32801,0,1,-1
32802,0,1,-1
32803,0,0,0
32804,0,1,-1
32805,0,0,0
32806,0,0,0
32807,0,0,0
32808,0,3,-3
32809,0,0,0
32810,0,0,0
32811,0,2,-2
32812,1,1,-1
32813,3,1,3
32814,2,0,2
32815,0,2,-2
32816,3,0,3
32817,3,0,3
32818,0,2,-2
32819,0,1,-1
32820,0,0,0
32821,4,1,4
32822,2,1,2
32823,0,1,-1
32824,0,1,-1
32825,0,1,-1
32826,0,0,0
32827,1,0,1
32828,0,0,0
32829,2,0,2
32830,0,4,-4
32831,5,0,5
32832,0,0,0
32833,0,0,0
32834,0,0,0
32835,2,0,2
32836,0,0,0
32837,2,1,2
32838,0,0,0
32839,2,0,2
32840,0,1,-1
32841,1,1,-1
32842,0,0,0
32843,0,0,0
32844,0,4,-4
32845,0,1,-1
32846,0,0,0
32847,0,0,0
32848,1,0,1
32849,0,3,-3
32850,0,1,-1
32851,0,0,0
32852,0,0,0
32853,0,0,0
32854,0,0,0
32855,0,0,0
32856,0,0,0
32857,5,0,5
32858,1,0,1
32859,1,0,1
32860,1,0,1
32861,0,0,0
32862,1,0,1
32863,1,0,1
32864,1,2,-2
32865,0,0,0
32866,0,0,0
32867,0,0,0
32868,0,0,0
32869,1,0,1
32870,1,1,-1
32871,0,0,0
32872,3,0,3
32873,0,2,-2
32874,1,0,1
32875,3,0,3
32876,1,2,-2
32877,0,5,-5
32878,0,0,0
32879,0,0,0
32880,0,0,0
32881,1,0,1
32882,2,0,2
32883,1,0,1
32884,0,0,0
32885,1,0,1
32886,0,0,0
32887,1,0,1
32888,1,0,1
32889,0,0,0
32890,0,0,0
32891,2,1,2
32892,0,0,0
32893,2,0,2
32894,0,0,0
32895,0,0,0
32896,0,0,0
32897,0,0,0
32898,2,0,2
32899,0,0,0
32900,0,0,0
32901,1,0,1
32902,0,0,0
32903,0,0,0
32904,2,1,2
32905,1,1,-1
32906,1,0,1
32907,0,0,0
32908,1,1,-1
32909,0,3,-3
32910,2,0,2
32911,0,0,0
32912,1,0,1
32913,2,0,2
32914,0,0,0
32915,0,4,-4
32916,3,0,3
32917,2,0,2
32918,0,1,-1
32919,2,0,2
32920,0,1,-1
32921,0,0,0
32922,0,2,-2
32923,0,0,0
32924,3,0,3
32925,0,0,0
32926,2,0,2
32927,1,1,-1
32928,0,2,-2
32929,0,1,-1
32930,3,0,3
32931,0,2,-2
32932,0,1,-1
32933,0,0,0
32934,1,0,1
32935,0,0,0
32936,0,0,0
32937,1,0,1
32938,1,0,1
32939,0,0,0
32940,0,2,-2
32941,1,1,-1
32942,1,0,1
32943,1,0,1
32944,0,0,0
32945,1,1,-1
32946,0,0,0
32947,0,1,-1
32948,0,0,0
32949,2,0,2
32950,1,2,-2
32951,0,0,0
32952,1,3,-3
32953,4,0,4
32954,0,0,0
32955,0,0,0
32956,2,0,2
32957,2,0,2
32958,1,0,1
32959,0,0,0
32960,0,1,-1
32961,0,0,0
32962,3,0,3
32963,0,0,0
32964,2,0,2
32965,0,1,-1
32966,1,0,1
32967,0,0,0
32968,2,0,2
32969,0,1,-1
32970,0,0,0
32971,0,0,0
32972,0,1,-1
32973,0,0,0
32974,0,1,-1
32975,0,1,-1
32976,0,1,-1
32977,1,0,1
32978,1,0,1
32979,3,0,3
32980,2,1,2
32981,0,0,0
32982,1,0,1
32983,2,0,2
32984,1,0,1
32985,0,0,0
32986,0,0,0
32987,0,0,0
32988,0,1,-1
32989,0,0,0
32990,2,0,2
32991,0,0,0
32992,0,3,-3
32993,1,1,-1
32994,1,0,1
32995,3,1,3
32996,1,0,1
32997,1,0,1
32998,1,1,-1
32999,0,0,0
33000,1,0,1
33001,1,1,-1
33002,0,0,0
33003,2,0,2
33004,0,0,0
33005,0,0,0
33006,0,3,-3
33007,2,0,2
33008,1,1,-1
33009,2,0,2
33010,0,1,-1
33011,0,0,0
33012,0,3,-3
33013,2,0,2
33014,3,0,3
33015,0,1,-1
33016,0,1,-1
33017,1,0,1
33018,0,0,0
33019,2,0,2
33020,2,0,2
33021,1,0,1
33022,3,1,3
33023,0,2,-2
33024,1,0,1
33025,1,0,1
33026,1,0,1
33027,0,1,-1
33028,0,0,0
33029,1,0,1
33030,0,2,-2
33031,0,0,0
33032,0,1,-1
33033,0,1,-1
33034,3,0,3
33035,2,0,2
33036,0,0,0
33037,0,5,-5
33038,0,0,0
33039,2,0,2
33040,0,1,-1
33041,1,0,1
33042,1,0,1
33043,0,0,0
33044,1,0,1
33045,0,0,0
33046,0,0,0
33047,0,1,-1
33048,0,0,0
33049,1,0,1
33050,2,0,2
33051,0,0,0
33052,1,2,-2
33053,1,0,1
33054,0,0,0
33055,2,0,2
33056,1,1,-1
33057,1,0,1
33058,1,2,-2
33059,0,0,0
33060,0,0,0
33061,1,2,-2
33062,2,0,2
33063,1,0,1
33064,0,0,0
33065,1,1,-1
33066,2,0,2
33067,0,0,0
33068,2,0,2
33069,3,0,3
33070,0,0,0
33071,1,3,-3
33072,0,0,0
33073,0,2,-2
33074,4,0,4
33075,2,0,2
33076,3,0,3
33077,3,0,3
33078,0,1,-1
33079,2,2,-2
33080,1,1,-1
33081,0,0,0
33082,1,0,1
33083,0,0,0
33084,0,1,-1
33085,4,0,4
33086,1,0,1
33087,1,0,1
33088,0,2,-2
33089,0,0,0
33090,2,2,-2
33091,0,0,0
33092,2,0,2
33093,1,0,1
33094,0,0,0
33095,0,0,0
33096,0,0,0
33097,1,0,1
33098,0,1,-1
33099,1,0,1
33100,2,0,2
33101,0,0,0
33102,0,3,-3
33103,0,0,0
33104,0,2,-2
33105,1,0,1
33106,0,0,0
33107,0,0,0
33108,0,1,-1
33109,0,0,0
33110,0,1,-1
33111,0,0,0
33112,1,0,1
33113,0,0,0
33114,1,0,1
33115,0,0,0
33116,0,0,0
33117,2,1,2
33118,0,0,0
33119,1,3,-3
33120,3,0,3
33121,3,1,3
33122,0,0,0
33123,0,3,-3
33124,2,1,2
33125,0,0,0
33126,0,0,0
33127,0,0,0
33128,1,0,1
33129,0,0,0
33130,3,0,3
33131,0,0,0
33132,3,0,3
33133,1,0,1
33134,3,0,3
33135,4,0,4
33136,0,0,0
33137,1,0,1
33138,2,0,2
33139,1,1,-1
33140,1,0,1
33141,0,1,-1
33142,0,0,0
33143,2,0,2
33144,0,0,0
33145,0,1,-1
33146,1,0,1
33147,2,0,2
33148,0,0,0
33149,0,0,0
33150,0,0,0
33151,1,1,-1
33152,0,2,-2
33153,1,0,1
33154,1,1,-1
33155,2,0,2
33156,2,0,2
33157,1,0,1
33158,3,0,3
33159,0,0,0
33160,3,0,3
33161,1,2,-2
33162,2,1,2
33163,0,0,0
33164,1,0,1
33165,0,0,0
33166,0,0,0
33167,0,0,0
33168,0,1,-1
33169,1,0,1
33170,1,0,1
33171,1,0,1
33172,1,0,1
33173,3,0,3
33174,0,0,0
33175,2,0,2
33176,1,0,1
33177,1,1,-1
33178,0,0,0
33179,2,0,2
33180,3,0,3
33181,1,1,-1
33182,2,1,2
33183,1,0,1
33184,0,0,0
33185,1,0,1
33186,0,1,-1
33187,1,0,1
33188,0,1,-1
33189,4,0,4
33190,0,1,-1
33191,0,2,-2
33192,3,0,3
33193,0,0,0
33194,0,2,-2
33195,1,0,1
33196,0,0,0
33197,1,0,1
33198,0,0,0
33199,0,0,0
33200,1,0,1
33201,3,0,3
33202,1,0,1
33203,2,0,2
33204,3,0,3
33205,3,0,3
33206,2,5,-5
33207,2,0,2
33208,0,1,-1
33209,1,0,1
33210,0,0,0
33211,2,1,2
33212,1,0,1
33213,2,0,2
33214,1,0,1
33215,2,1,2
33216,1,1,-1
33217,2,0,2
33218,1,0,1
33219,1,0,1
33220,1,1,-1
33221,0,1,-1
33222,1,0,1
33223,0,0,0
33224,0,1,-1
33225,0,3,-3
33226,1,0,1
33227,2,0,2
33228,0,0,0
33229,3,0,3
33230,0,0,0
33231,1,0,1
33232,1,0,1
33233,0,0,0
33234,1,0,1
33235,0,0,0
33236,0,0,0
33237,1,1,-1
33238,0,1,-1
33239,1,0,1
33240,2,0,2
33241,0,1,-1
33242,0,2,-2
33243,0,0,0
33244,0,0,0
33245,0,1,-1
33246,2,0,2
33247,0,0,0
33248,0,0,0
33249,1,0,1
33250,0,0,0
33251,0,1,-1
33252,0,0,0
33253,1,0,1
33254,1,0,1
33255,0,0,0
33256,0,0,0
33257,1,0,1
33258,1,2,-2
33259,0,0,0
33260,3,0,3
33261,1,1,-1
33262,1,0,1
33263,0,0,0
33264,0,0,0
33265,1,0,1
33266,0,0,0
33267,0,0,0
33268,4,0,4
33269,1,0,1
33270,0,0,0
33271,0,0,0
33272,0,0,0
33273,1,0,1
33274,1,0,1
33275,0,1,-1
33276,0,0,0
33277,2,2,-2
33278,0,0,0
33279,1,1,-1
33280,1,1,-1
33281,0,0,0
33282,2,0,2
33283,1,5,-5
33284,0,0,0
33285,2,0,2
33286,0,0,0
33287,1,0,1
33288,2,0,2
33289,1,0,1
33290,0,1,-1
33291,1,3,-3
33292,1,0,1
33293,4,0,4
33294,1,0,1
33295,1,0,1
33296,0,0,0
33297,2,0,2
33298,0,0,0
33299,3,1,3
33300,1,0,1
33301,1,1,-1
33302,0,0,0
33303,0,0,0
33304,0,0,0
33305,1,0,1
33306,3,0,3
33307,0,0,0
33308,0,0,0
33309,3,0,3
33310,2,0,2
33311,1,0,1
33312,0,0,0
33313,0,2,-2
33314,0,0,0
33315,1,0,1
33316,0,0,0
33317,0,0,0
33318,0,1,-1
33319,0,0,0
33320,0,0,0
33321,0,2,-2
33322,1,0,1
33323,2,0,2
33324,0,0,0
33325,1,0,1
33326,2,0,2
33327,0,0,0
33328,0,0,0
33329,3,0,3
33330,0,0,0
33331,1,0,1
33332,0,0,0
33333,0,4,-4
33334,0,0,0
33335,1,0,1
33336,0,0,0
33337,2,0,2
33338,4,0,4
33339,1,0,1
33340,1,0,1
33341,0,1,-1
33342,1,0,1
33343,0,2,-2
33344,1,0,1
33345,0,0,0
33346,0,0,0
33347,0,1,-1
33348,1,2,-2
33349,1,0,1
33350,3,0,3
33351,0,0,0
33352,0,0,0
33353,0,2,-2
33354,1,1,-1
33355,1,0,1
33356,1,0,1
33357,0,0,0
33358,1,0,1
33359,2,0,2
33360,0,1,-1
33361,1,0,1
33362,2,0,2
33363,0,0,0
33364,1,0,1
33365,0,0,0
33366,0,1,-1
33367,0,0,0
33368,0,0,0
33369,0,1,-1
33370,1,0,1
33371,0,0,0
33372,1,0,1
33373,0,0,0
33374,1,0,1
33375,3,0,3
33376,1,0,1
33377,0,0,0
33378,0,2,-2
33379,1,0,1
33380,0,0,0
33381,0,0,0
33382,0,0,0
33383,1,0,1
33384,0,2,-2
33385,0,0,0
33386,1,1,-1
33387,0,0,0
33388,0,0,0
33389,0,0,0
33390,2,0,2
33391,1,0,1
33392,0,0,0
33393,0,0,0
33394,3,0,3
33395,1,0,1
33396,1,1,-1
33397,0,0,0
33398,0,0,0
33399,0,0,0
33400,0,0,0
33401,0,0,0
33402,0,0,0
33403,0,0,0
33404,0,0,0
33405,1,0,1
33406,0,0,0
33407,3,0,3
33408,0,3,-3
33409,1,0,1
33410,2,0,2
33411,1,2,-2
33412,3,0,3
33413,2,0,2
33414,0,0,0
33415,0,0,0
33416,0,0,0
33417,0,0,0
33418,0,0,0
33419,2,0,2
33420,3,1,3
33421,0,0,0
33422,1,0,1
33423,1,0,1
33424,0,0,0
33425,0,0,0
33426,1,0,1
33427,2,0,2
33428,2,1,2
33429,1,0,1
33430,4,0,4
33431,0,0,0
33432,0,0,0
33433,0,0,0
33434,2,0,2
33435,1,1,-1
33436,0,0,0
33437,0,0,0
33438,4,0,4
33439,0,2,-2
33440,2,0,2
33441,0,0,0
33442,0,0,0
33443,2,1,2
33444,0,0,0
33445,0,0,0
33446,0,0,0
33447,1,2,-2
33448,0,2,-2
33449,1,0,1
33450,1,1,-1
33451,0,0,0
33452,0,0,0
33453,1,1,-1
33454,0,0,0
33455,0,0,0
33456,0,0,0
33457,1,0,1
33458,1,0,1
33459,0,0,0
33460,0,2,-2
33461,0,0,0
33462,0,0,0
33463,0,0,0
33464,0,0,0
33465,0,1,-1
33466,0,1,-1
33467,2,0,2
33468,0,0,0
33469,1,0,1
33470,1,1,-1
33471,2,0,2
33472,1,1,-1
33473,1,0,1
33474,1,0,1
33475,0,0,0
